Season,TeamID,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMss,OppOss,OppDss,AdjEMnc
2011,1462,+6.02,112.8,96.8,64.3,+.035,+6.02,105.4,100.9,+6.02
2016,1242,+3.62,120,90.4,69,+.044,+3.62,111.4,98.8,+3.62
2015,1459,+6.79,105.2,98.5,60.5,+.122,+6.79,104,108,+6.79
2016,1345,-2.67,116.9,93.1,67.9,-0.046,-2.67,109.1,101.7,-2.67
2005,1112,+3.33,116.7,94.5,68.6,+.027,+3.33,107.8,99.7,+3.33
2007,1438,+15.43,114.1,98.7,67.9,+.006,+8.27,109.2,100.9,-4.35
2012,1266,-0.95,111.5,91.3,70,+.042,-0.95,106.6,98.3,-0.95
2004,1112,+4.60,118.5,102.3,73,-0.072,+4.60,106.7,101,+4.60
2006,1393,-3.79,110,96.8,68.3,+.077,-3.79,107.5,98.8,-3.79
2011,1242,-0.29,118.9,90.6,68.4,+.060,-0.29,108.2,100.5,-0.29
2017,1435,+6.30,112.4,95.9,65.8,-0.048,+6.30,110.1,98.7,+6.30
2010,1115,+17.98,93.1,99.5,65.1,+.053,+17.98,96.4,104,+17.98
2007,1207,+28.48,122.0,93.5,59.4,+.006,+10.41,109.7,99.3,-1.02
2012,1246,-1.06,122.2,89.6,65.4,+.032,-1.06,106.8,98.8,-1.06
2005,1388,-0.59,106.8,97.4,64.9,+.080,-0.59,105.2,102.2,-0.59
2003,1196,-0.89,116.5,94.4,65,+.008,-0.89,106,97.7,-0.89
2009,1281,-3.76,116.6,91.8,70.9,+.031,-3.76,106.4,98.4,-3.76
2008,1457,+7.81,99.5,93.1,61.6,0,+7.81,105.1,106.1,+7.81
2016,1462,+1.73,117.1,94.6,71.9,+.047,+1.73,108.2,100,+1.73
2003,1143,+0.30,109.9,96.3,65.9,+.061,+0.30,106.7,99.6,+0.30
2010,1243,+2.37,116.1,90.6,69.4,-0.008,+2.37,109.5,97.5,+2.37
2011,1196,+1.55,115.8,95.2,62.5,+.038,+1.55,106.8,99.1,+1.55
2008,1458,-0.19,113.5,86.8,61.1,+.043,-0.19,107.1,99.8,-0.19
2015,1172,-3.78,119.7,104.7,66.7,+.056,-3.78,105.3,102.2,-3.78
2012,1104,+3.98,106.1,89.5,61.9,-0.067,+3.98,107.4,100.3,+3.98
2017,1315,+3.24,103.6,103.5,71.5,+.048,+3.24,103,108.6,+3.24
2014,1174,+2.88,112,106.2,70.4,+.064,+2.88,105.2,105.9,+2.88
2005,1285,+4.56,99.9,102.6,68.2,+.049,+4.56,100.4,104.8,+4.56
