NCAA,ESPN,ESPN_PBP,conference,network_col,kenpom
North Carolina St.,NC State,NC State,ACC,red,northcarolinast.
North Dakota,North Dakota,North Dakota,Big Sky,seagreen,northdakota
North Dakota St.,North Dakota St,North Dakota St,Summit,forestgreen,northdakotast.
North Florida,North Florida,North Florida,A-Sun,royalblue3,northflorida
North Texas,North Texas,North Texas,C-USA,seagreen,northtexas
Northeastern,Northeastern,Northeastern,CAA,red,northeastern
Northern Ariz.,N Arizona,Northern Arizona,Big Sky,gold,northernariz.
Northern Colo.,N Colorado,Northern Colorado,Big Sky,gold ,northerncolo.
Northern Ill.,N Illinois,Northen Illinois,MAC,red,northernill.
Northern Ky.,N Kentucky,Northen Kentucky,Horizon,gold,northernky.
Northwestern,Northwestern,Northwestern,Big 10,purple,northwestern
Northwestern St.,Northwestern St,Northwestern State,Southland,purple,northwesternst.
Notre Dame,Notre Dame,Notre Dame,ACC,gold,notredame
Oakland,Oakland,Oakland,Horizon,gold,oakland
Ohio,Ohio,Ohio,MAC,forestgreen,ohio
Ohio St.,OSU,Ohio State,Big 10,red,ohiost.
Oklahoma,Oklahoma,Oklahoma,Big 12,firebrick2,oklahoma
Oklahoma St.,Oklahoma State,Oklahoma State,Big 12,orange,oklahomast.
Old Dominion,Old Dominion,Old Dominion,C-USA,royalblue3,olddominion
Ole Miss,Ole Miss,Ole Miss,SEC,firebrick2,mississippi
Omaha,Omaha,Omaha,Summit,red,omaha
Oral Roberts,Oral Roberts,Oral Roberts,Summit,gold,oralroberts
Oregon,Oregon,Oregon,Pac 12,forestgreen,oregon
Oregon St.,Oregon State,Oregon State,Pac 12,orange,oregonst.
Pacific,Pacific,Pacific,WCC,orange,pacific
Penn,Penn,Pennsylvania,Ivy,maroon,penn
Penn St.,Penn State,Penn State,Big 10,royalblue3,pennst.
Pepperdine,Pepperdine,Pepperdine,WCC,royalblue3,pepperdine
Pittsburgh,Pitt,Pittsburgh,ACC,gold,pittsburgh
Portland,Portland,Portland,WCC,royalblue2,portland
Portland St.,Portland State,Portland State,Big Sky,forestgreen,portlandst.
Prairie View,PV A&M,Prairie View A&M,SWAC,grey,prairieview
Presbyterian,Presbyterian,Presbyterian College,Big South,blue,presbyterian
Princeton,Princeton,Princeton,Ivy,orange,princeton
Providence,Providence,Providence,Big East,white,providence
Purdue,Purdue,Purdue,Big 10,gold,purdue
Quinnipiac,Quinnipiac,Quinnipiac,MAAC,gold,quinnipiac
Radford,Radford,Radford,Big South,red,radford
Rhode Island,URI,Rhode Island,A-10,skyblue,rhodeisland
Rice,Rice,Rice,C-USA,royalblue3,rice
Richmond,Richmond,Richmond,A-10,royalblue3,richmond
Rider,Rider,Rider,MAAC,maroon,rider
Robert Morris,Robert Morris,Robert Morris,NEC,royalblue3,robertmorris
Rutgers,Rutgers,Rutgers,Big 10,red,rutgers
Sacramento St.,Sacramento St,Sacramento State,Big Sky,forestgreen,sacramentost.
Sacred Heart,Sacred Heart,Sacred Heart,NEC,red,sacredheart
Saint Francis (PA),St Francis (PA),St. Francis (PA),NEC,red,saintfrancis(pa)
Saint Joseph's,Saint Joe's,Saint Joseph's,A-10,maroon,saintjoseph's
Saint Louis,Saint Louis,Saint Louis,A-10,blue,saintlouis
