Teams:                                    W   L   T     SOS       PR
279 CENTRAL CONNECTICUT ST.                   14  18   0    60.69    56.90
280 NEW ORLEANS                               16  16   0    57.75    56.79
281 SACRED HEART                              10  21   0    60.40    56.75
282 MOREHEAD ST.                               8  21   0    61.65    56.74
283 WESTERN CAROLINA                          13  19   0    63.25    56.72
284 IUPUI                                     11  19   0    60.57    56.63
285 SE MISSOURI ST.                           14  17   0    58.94    56.43
286 IDAHO ST.                                 14  16   0    57.65    56.31
287 NORTH DAKOTA ST.                          15  17   0    54.79    56.25
288 MONTANA ST.                               13  19   0    59.05    56.22
289 CLEVELAND ST.                             12  23   0    62.07    56.20
290 BINGHAMTON                                11  20   0    58.38    56.19
291 NORTH DAKOTA                              12  20   0    60.85    56.14
292 CITADEL                                   11  21   0    60.98    56.00
293 SACRAMENTO ST.                             7  25   0    61.86    55.68
294 DETROIT                                    8  24   0    63.10    55.67
295 NORTH CAROLINA A&T                        20  15   0    55.20    55.59
296 EASTERN KENTUCKY                          11  20   0    60.07    55.55
297 MARIST                                     6  25   0    64.24    55.42
298 WESTERN ILLINOIS                          12  16   0    55.60    55.39
299 AMERICAN                                   6  24   0    63.44    55.32
300 CALIFORNIA RIVERSIDE                       9  22   0    59.44    55.25
301 ST. FRANCIS BROOKLYN                      13  18   0    59.20    54.95
302 SAMFORD                                   10  22   0    60.06    54.86
303 McNEESE ST.                               11  17   0    56.05    54.73
304 NEBRASKA OMAHA                             9  22   0    60.77    54.70
305 SIU EDWARDSVILLE                           9  21   0    62.53    54.50
306 YOUNGSTOWN ST.                             8  24   0    61.48    54.47
307 SAVANNAH ST.                              15  17   0    60.73    54.41
308 PRAIRIE VIEW                              16  18   0    56.50    54.36
309 ARKANSAS LITTLE ROCK                       7  25   0    60.53    54.26
310 RICE                                       7  24   0    61.77    54.13
311 BETHUNE-COOKMAN                           18  14   0    53.05    53.94
312 MAINE                                      6  26   0    61.32    53.77
313 MISSOURI KANSAS CITY                      10  22   0    59.38    53.71
314 PRESBYTERIAN COLLEGE                      11  21   0    57.85    53.64
315 CAL POLY                                   9  22   0    60.92    53.55
316 HOUSTON BAPTIST                            6  25   0    59.99    53.38
317 ARKANSAS ST.                              11  21   0    58.89    53.32
318 TENNESSEE MARTIN                          10  21   0    56.40    53.12
319 GRAMBLING ST.                             17  14   0    54.52    52.96
320 TEXAS A&M-CORPUS CHRISTI                  11  18   0    56.14    52.93
321 TEXAS RIO GRANDE VALLEY                   15  18   0    55.33    52.92
322 NORTH FLORIDA                             14  19   0    59.05    52.82
323 ORAL ROBERTS                              11  21   0    56.82    52.80
324 NORFOLK ST.                               14  19   0    53.52    52.57
325 KENNESAW ST.                              10  20   0    58.69    52.46
326 VMI                                        9  21   0    60.33    52.28
327 NORTH CAROLINA CENTRAL                    19  16   0    50.65    52.19
328 MORGAN ST.                                13  19   0    55.27    52.08
329 BRYANT                                     3  28   0    63.27    51.55
330 SOUTHERN                                  15  18   0    54.17    51.37
331 ARKANSAS-PINE BLUFF                       14  21   0    57.21    51.28
332 LONGWOOD                                   7  26   0    59.78    50.80
333 INCARNATE WORD                             7  21   0    56.49    50.37
334 JACKSONVILLE                              15  18   0    51.53    50.36
335 JACKSON ST.                               12  20   0    55.09    50.31
336 CAL STATE NORTHRIDGE                       6  24   0    58.01    50.11
337 STETSON                                   12  20   0    52.56    49.59
338 ALABAMA ST.                                8  23   0    58.06    49.26
